30609;2019-01-01 16:00:00;1034;200;18512
18588;2019-01-01 17:00:00;7974;125;1730
19473;2019-01-01 17:00:00;6573;125;1730
21885;2019-01-01 17:00:00;741;240;29336
30609;2019-01-01 17:00:00;1034;125;1730
21885;2019-01-01 17:00:00;741;145;1650
30609;2019-01-01 17:00:00;1034;200;18512
25925;2019-01-01 17:00:00;5119;120;1730
18588;2019-01-01 18:00:00;7974;125;1730
25925;2019-01-01 18:00:00;5119;120;1730
21885;2019-01-01 18:00:00;741;145;1650
19473;2019-01-01 18:00:00;6573;125;1730
30609;2019-01-01 18:00:00;1034;125;1730
21885;2019-01-01 18:00:00;741;240;29336
30609;2019-01-01 18:00:00;1034;200;18512
25925;2019-01-01 19:00:00;5119;120;1730
18588;2019-01-01 19:00:00;792;125;1730
19473;2019-01-01 19:00:00;6573;125;1730
30609;2019-01-01 19:00:00;1032;200;18512
21885;2019-01-01 19:00:00;741;240;29336
21885;2019-01-01 19:00:00;741;145;1650
30609;2019-01-01 19:00:00;1032;125;1730
18588;2019-01-01 20:00:00;792;125;1730
25925;2019-01-01 20:00:00;5065;120;1730
21885;2019-01-01 20:00:00;739;240;29336
21885;2019-01-01 20:00:00;739;145;1650
19473;2019-01-01 20:00:00;6573;125;1730
30609;2019-01-01 20:00:00;1032;125;1730
30609;2019-01-01 20:00:00;1032;200;18512
18588;2019-01-01 21:00:00;792;125;1730
21885;2019-01-01 21:00:00;739;145;1650
19473;2019-01-01 21:00:00;6573;125;1730
21885;2019-01-01 21:00:00;739;240;29336
25925;2019-01-01 21:00:00;5065;120;1730
30609;2019-01-01 21:00:00;1032;125;1730
30609;2019-01-01 21:00:00;1032;200;18512
18588;2019-01-01 22:00:00;7866;125;1730
21885;2019-01-01 22:00:00;739;145;1650
19473;2019-01-01 22:00:00;6519;125;1730
30609;2019-01-01 22:00:00;1030;125;1730
21885;2019-01-01 22:00:00;739;240;29336
30609;2019-01-01 22:00:00;1030;200;18512
25925;2019-01-01 22:00:00;5065;120;1730
19473;2019-01-01 23:00:00;6519;125;1730
30609;2019-01-01 23:00:00;1030;125;1730
18588;2019-01-01 23:00:00;7866;125;1730
30609;2019-01-01 23:00:00;1030;200;18512
21885;2019-01-01 23:00:00;739;240;29336
21885;2019-01-01 23:00:00;739;145;1650
25925;2019-01-01 23:00:00;5065;120;1730
30609;2019-01-02 00:00:00;1030;200;18512
21885;2019-01-02 00:00:00;739;240;29336
21885;2019-01-02 00:00:00;739;145;1650
18588;2019-01-02 00:00:00;7866;125;1730
30609;2019-01-02 00:00:00;1030;125;1730
19473;2019-01-02 00:00:00;6519;125;1730
25925;2019-01-02 00:00:00;5065;120;1730
30609;2019-01-02 01:00:00;1028;200;18512
19473;2019-01-02 01:00:00;6466;125;1730
18588;2019-01-02 01:00:00;7866;125;1730
21885;2019-01-02 01:00:00;739;145;1650
21885;2019-01-02 01:00:00;739;240;29336
25925;2019-01-02 01:00:00;5065;120;1730
30609;2019-01-02 01:00:00;1028;125;1730
18588;2019-01-02 02:00:00;7866;125;1730
19473;2019-01-02 02:00:00;6519;125;1730
21885;2019-01-02 02:00:00;739;145;1650
21885;2019-01-02 02:00:00;739;240;29336
25925;2019-01-02 02:00:00;5011;120;1730
30609;2019-01-02 02:00:00;1028;125;1730
30609;2019-01-02 02:00:00;1028;200;18512
25925;2019-01-02 03:00:00;5065;120;1730
21885;2019-01-02 03:00:00;737;240;29336
21885;2019-01-02 03:00:00;737;145;1650
18588;2019-01-02 03:00:00;7813;125;1730
30609;2019-01-02 03:00:00;1028;125;1730
19473;2019-01-02 03:00:00;6466;125;1730
30609;2019-01-02 03:00:00;1028;200;18512
30609;2019-01-02 04:00:00;1028;200;18512
21885;2019-01-02 04:00:00;737;240;29336
25925;2019-01-02 04:00:00;5065;120;1730
18588;2019-01-02 04:00:00;7813;125;1730
30609;2019-01-02 04:00:00;1028;125;1730
19473;2019-01-02 04:00:00;6466;125;1730
21885;2019-01-02 04:00:00;737;145;1650
21885;2019-01-02 05:00:00;737;240;29336
18588;2019-01-02 05:00:00;7813;125;1730
19473;2019-01-02 05:00:00;6466;125;1730
25925;2019-01-02 05:00:00;5011;120;1730
21885;2019-01-02 05:00:00;737;145;1650
30609;2019-01-02 05:00:00;1026;200;18512
30609;2019-01-02 05:00:00;1026;125;1730
18588;2019-01-02 05:30:00;7813;125;1730
25925;2019-01-02 06:00:00;4957;120;1730
18588;2019-01-02 06:00:00;7813;125;1730
21885;2019-01-02 06:00:00;737;145;1650
19473;2019-01-02 06:00:00;6412;125;1730
30609;2019-01-02 06:00:00;1026;200;18512
30609;2019-01-02 06:00:00;1026;125;1730
21885;2019-01-02 06:00:00;737;240;29336
21885;2019-01-02 07:00:00;734;240;29336
19473;2019-01-02 07:00:00;6358;125;1730
18588;2019-01-02 07:00:00;7813;125;1730
21885;2019-01-02 07:00:00;734;145;1650
25925;2019-01-02 07:00:00;4903;120;1730
30609;2019-01-02 07:00:00;1026;200;18512
30609;2019-01-02 07:00:00;1026;125;1730
18588;2019-01-02 08:00:00;7813;125;1730
19473;2019-01-02 08:00:00;6304;125;1730
21885;2019-01-02 08:00:00;734;240;29336
30609;2019-01-02 08:00:00;1024;125;1730
21885;2019-01-02 08:00:00;734;145;1650
30609;2019-01-02 08:00:00;1024;200;18512
25925;2019-01-02 08:00:00;4903;120;1730
19473;2019-01-02 08:25:00;6304;125;1730
18588;2019-01-02 09:00:00;7813;125;1730
19473;2019-01-02 09:00:00;625;125;1730
21885;2019-01-02 09:00:00;734;240;29336
30609;2019-01-02 09:00:00;1024;200;18512
21885;2019-01-02 09:00:00;734;145;1650
30609;2019-01-02 09:00:00;1024;125;1730
25925;2019-01-02 09:00:00;4957;120;1730
18588;2019-01-02 10:00:00;7813;125;1730
21885;2019-01-02 10:00:00;734;240;29336
21885;2019-01-02 10:00:00;734;145;1650
19473;2019-01-02 10:00:00;625;125;1730
25925;2019-01-02 10:00:00;4903;120;1730
30609;2019-01-02 10:00:00;1024;125;1730
30609;2019-01-02 10:00:00;1024;200;18512
18588;2019-01-02 11:00:00;7813;125;1730
21885;2019-01-02 11:00:00;734;145;1650
21885;2019-01-02 11:00:00;734;240;29336
30609;2019-01-02 11:00:00;1022;200;18512
19473;2019-01-02 11:00:00;625;125;1730
